#input, Strategy, Shape Filter, Container Height, Rotations Allowed, Number of rectangles, Input sorted, Fill rate, # Mutations
43, SimulatedAnnealing, None, 172, true, 10, -, 0.9199113, 100
43, SimulatedAnnealing, None, 172, true, 10, -, 0.923533, 200
43, SimulatedAnnealing, None, 172, true, 10, -, 0.9220205, 300
43, SimulatedAnnealing, None, 172, true, 10, -, 0.9109169, 400
43, SimulatedAnnealing, None, 172, true, 10, -, 0.92541975, 500
43, SimulatedAnnealing, None, 172, true, 10, -, 0.898518, 600
43, SimulatedAnnealing, None, 172, true, 10, -, 0.9146591, 700
43, SimulatedAnnealing, None, 172, true, 10, -, 0.92541975, 800
44, SimulatedAnnealing, None, 80, true, 25, -, 0.8535134, 100
44, SimulatedAnnealing, None, 80, true, 25, -, 0.8499121, 200
44, SimulatedAnnealing, None, 80, true, 25, -, 0.8487184, 300
44, SimulatedAnnealing, None, 80, true, 25, -, 0.875779, 400
44, SimulatedAnnealing, None, 80, true, 25, -, 0.8535134, 500
44, SimulatedAnnealing, None, 80, true, 25, -, 0.86080843, 600
44, SimulatedAnnealing, None, 80, true, 25, -, 0.87046474, 700
44, SimulatedAnnealing, None, 80, true, 25, -, 0.84279984, 800
45, SimulatedAnnealing, None, 105, true, 25, -, 0.81836754, 100
45, SimulatedAnnealing, None, 105, true, 25, -, 0.86295754, 200
45, SimulatedAnnealing, None, 105, true, 25, -, 0.8359457, 300
45, SimulatedAnnealing, None, 105, true, 25, -, 0.8549948, 400
45, SimulatedAnnealing, None, 105, true, 25, -, 0.85424083, 500
45, SimulatedAnnealing, None, 105, true, 25, -, 0.8318345, 600
45, SimulatedAnnealing, None, 105, true, 25, -, 0.84429127, 700
45, SimulatedAnnealing, None, 105, true, 25, -, 0.867383, 800
46, SimulatedAnnealing, None, 16, false, 10, -, 0.8720238, 100
46, SimulatedAnnealing, None, 16, false, 10, -, 0.8720238, 200
46, SimulatedAnnealing, None, 16, false, 10, -, 0.8720238, 300
46, SimulatedAnnealing, None, 16, false, 10, -, 0.8720238, 400
46, SimulatedAnnealing, None, 16, false, 10, -, 0.8720238, 500
46, SimulatedAnnealing, None, 16, false, 10, -, 0.8720238, 600
46, SimulatedAnnealing, None, 16, false, 10, -, 0.8720238, 700
46, SimulatedAnnealing, None, 16, false, 10, -, 0.8720238, 800
47, SimulatedAnnealing, None, 88, true, 10, -, 0.90184504, 100
